gisjoin_1800,cnty_area_1800,gisjoin_2020,cnty_area_2020,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G1300310,2207690595.11,13165,912901876.503,245990195.965,214.2907,229.24785,225.96513,1913,1913.0001,1913,.11142422,.11201814,.11983682,.11812082
G1300310,2207690595.11,13165,912901876.503,.316704249521,0,0,0,1913,1913.0001,1913,1.4345500e-10,0,0,0
G1300310,2207690595.11,13251,1698692595.04,863799.080836,0,0,0,1913,1913.0001,1913,.00039126817,0,0,0
G1300310,2207690595.11,13251,1698692595.04,.0246777813611,0,0,0,1913,1913.0001,1913,1.1178098e-11,0,0,0
G1300330,2556741783.14,13033,2162594763.75,2162179691.7,8037.2871,7724.4653,7704.6924,9503.999,9504.001,9504,.84567779,.84567422,.81275934,.8106789
G1300330,2556741783.14,13107,1787568595.78,183208.13742,0,0,0,9503.999,9504.001,9504,.000071656883,0,0,0
G1300330,2556741783.14,13163,1371830966.02,29744.0271155,0,0,0,9503.999,9504.001,9504,.000011633567,0,0,0
G1300330,2556741783.14,13165,912901876.503,.316704249521,0,0,0,9503.999,9504.001,9504,1.2387025e-10,0,0,0
G1300330,2556741783.14,13165,912901876.503,394092966.836,1466.7123,1779.5354,1799.3075,9503.999,9504.001,9504,.15413874,.1543258,.18724066,.18932107
G1300330,2556741783.14,13245,851031902.48,254044.468717,0,0,0,9503.999,9504.001,9504,.00009936258,0,0,0
G1300330,2556741783.14,13251,1698692595.04,1093.12580768,0,0,0,9503.999,9504.001,9504,4.2754641e-07,0,0,0
G1300330,2556741783.14,45003,2797624788.87,389.724103286,0,0,0,9503.999,9504.001,9504,1.5242998e-07,0,0,0
G1300330,2556741783.14,45005,1068155090.88,252.718039765,0,0,0,9503.999,9504.001,9504,9.8843785e-08,0,0,0
G1300330,2556741783.14,45011,1443303098.62,392.873970134,0,0,0,9503.999,9504.001,9504,1.5366197e-07,0,0,0
G1300390,2105710203.05,12089,1880125450.07,1524065.66394,.7981956,0,0,1680.9999,1681,1681,.00072377751,.00047483383,0,0
G1300390,2105710203.05,13025,1158263953.65,100105774.925,81.415955,79.469467,79.242592,1680.9999,1681,1681,.047540147,.048433051,.047275115,.047140151
G1300390,2105710203.05,13039,2025131881.56,1687581992.95,1347.3541,1286.9639,1288.564,1680.9999,1681,1681,.80143124,.80151945,.76559418,.76654607
G1300390,2105710203.05,13049,2026379032.84,316357577.105,250.63342,314.56665,313.19339,1680.9999,1681,1681,.15023795,.14909783,.18713066,.18631373
G1300390,2105710203.05,13127,1515958355.81,140779.182773,.7981956,0,0,1680.9999,1681,1681,.000066855915,.00047483383,0,0
G1300510,1088401432.67,13029,1177035566.96,51320.661027,0,0,0,12946,12946.001,12946,.000047152327,0,0,0
G1300510,1088401432.67,13051,1631625265.58,1087926917.31,12931.542,12946.001,12946,12946,12946.001,12946,.99956405,.99888319,1,1
G1300510,1088401432.67,13103,1250714160,21477.8287313,0,0,0,12946,12946.001,12946,.00001973337,0,0,0
G1300510,1088401432.67,45053,1817086494.62,401716.607815,14.457831,0,0,12946,12946.001,12946,.00036908864,.0011167797,0,0
G1300730,1234924413.48,13073,796944473.765,796896329.865,5390.1816,5425.3027,5473.1377,8345,8345,8345,.64529967,.64591753,.65012616,.65585834
G1300730,1234924413.48,13163,1371830966.02,3524.84357043,0,0,0,8345,8345,8345,2.8542991e-06,0,0,0
G1300730,1234924413.48,13181,666398131.774,1499.0971605,0,0,0,8345,8345,8345,1.2139182e-06,0,0,0
G1300730,1234924413.48,13189,689704066.775,437555266.128,2954.8181,2919.6973,2871.8621,8345,8345,8345,.35431746,.35408247,.34987384,.34414166
G1300730,1234924413.48,13245,851031902.48,15454.0936437,0,0,0,8345,8345,8345,.000012514202,0,0,0
G1300730,1234924413.48,13301,742518120.977,24691.7040157,0,0,0,8345,8345,8345,.000019994506,0,0,0
G1300730,1234924413.48,13317,1227898404.88,60354.2439512,0,0,0,8345,8345,8345,.000048872826,0,0,0
G1300730,1234924413.48,45037,1313132288.82,94.69167826970001,0,0,0,8345,8345,8345,7.6678120e-08,0,0,0
G1300730,1234924413.48,45065,1019434208.68,367201.617489,0,0,0,8345,8345,8345,.00029734743,0,0,0
G1301030,1250511427.11,13029,1177035566.96,209056.273507,0,0,0,2072.0002,2072.0002,2072,.00016717662,0,0,0
G1301030,1250511427.11,13031,1783563080.69,818501.083204,1.6523126,0,0,2072.0002,2072.0002,2072,.0006545331,.0007974481,0,0
G1301030,1250511427.11,13051,1631625265.58,8020.84594189,0,0,0,2072.0002,2072.0002,2072,6.4140527e-06,0,0,0
G1301030,1250511427.11,13103,1250714160,1248758058.3,2067.0432,2069.9827,2069.9944,2072.0002,2072.0002,2072,.99859786,.99760759,.99902624,.99903202
G1301030,1250511427.11,13251,1698692595.04,86649.9342436,1.6523126,2.0175269,2.0055282,2072.0002,2072.0002,2072,.0000692916,.0007974481,.00097370974,.00096791901
G1301030,1250511427.11,45049,1457400292.34,71659.7731872,0,0,0,2072.0002,2072.0002,2072,.000057304373,0,0,0
G1301030,1250511427.11,45053,1817086494.62,559480.951337,1.6523126,0,0,2072.0002,2072.0002,2072,.00044740172,.0007974481,0,0
G1301050,1572404466.91,13105,969215522.733,968348598.466,6203.2686,6187.4907,6337.5361,10094,10094,10093.999,.61583936,.61455011,.61298698,.62785184
G1301050,1572404466.91,13119,689625899.576,110165.478739,0,0,0,10094,10094,10093.999,.000070061797,0,0,0
G1301050,1572404466.91,13147,665492053.1900001,287342359.36,1874.5079,1861.4908,1753.9684,10094,10094,10093.999,.18274075,.18570517,.18441558,.17376348
G1301050,1572404466.91,13181,666398131.774,93531.8882344,0,0,0,10094,10094,10093.999,.000059483351,0,0,0
G1301050,1572404466.91,13195,739662791.698,.410213215737,0,0,0,10094,10094,10093.999,2.6088276e-10,0,0,0
G1301050,1572404466.91,13195,739662791.698,315833406.034,2016.2233,2045.0182,2002.4948,10094,10094,10093.999,.20086016,.19974473,.20259741,.19838467
G1301050,1572404466.91,13221,1144873417.3,.184191586923,0,0,0,10094,10094,10093.999,1.1714008e-10,0,0,0
G1301050,1572404466.91,13221,1144873417.3,200883.843452,0,0,0,10094,10094,10093.999,.00012775583,0,0,0
G1301050,1572404466.91,13317,1227898404.88,125104.439483,0,0,0,10094,10094,10093.999,.000079562509,0,0,0
G1301050,1572404466.91,45001,1325405203.53,67142.5462196,0,0,0,10094,10094,10093.999,.000042700558,0,0,0
G1301050,1572404466.91,45007,1957417062.11,244542.024679,0,0,0,10094,10094,10093.999,.00015552108,0,0,0
G1301050,1572404466.91,45065,1019434208.68,38733.4398204,0,0,0,10094,10094,10093.999,.000024633255,0,0,0
G1301190,1990953165.43,13011,607109911.8329999,375860612.722,1304.176,1354.5988,1343.2156,6858.9995,6859,6859.0005,.18878426,.19014086,.19749217,.19583255
G1301190,1990953165.43,13119,689625899.576,689463300.817,2380.6387,2458.3459,2476.6836,6858.9995,6859,6859.0005,.3462981,.3470825,.3584117,.36108521
G1301190,1990953165.43,13139,1111822704.48,102.219625694,0,0,0,6858.9995,6859,6859.0005,5.1342056e-08,0,0,0
G1301190,1990953165.43,13147,665492053.1900001,377020085.593,1293.8254,1135.9995,1127.1188,6858.9995,6859,6859.0005,.18936662,.1886318,.16562174,.16432697
G1301190,1990953165.43,13157,888569811.443,279850.242455,3.450201,3.5835946,3.4427111,6858.9995,6859,6859.0005,.00014056094,.00050301809,.00052246603,.00050192606
G1301190,1990953165.43,13195,739662791.698,182405516.682,631.38678,655.79779,657.20801,6858.9995,6859,6859.0005,.091617182,.092052318,.095611282,.09581688
